c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,self_score,kappa,cutoff
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.45121951219512196,0.1
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.5987261146496816,0.2
1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.750865051903114,0.3
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.8085106382978723,0.4
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8391,0.0,1.0,1.0,1.0,0.8391,1.0,0.8888888888888888,0.664179104477612,0.5
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.83725,0.0,1.0,1.0,1.0,0.83725,1.0,0.8888888888888888,0.5,0.6
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6606,0.0,1.0,1.0,1.0,0.6606,1.0,0.9166666666666666,0.5178571428571429,0.7
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6696,0.0,1.0,1.0,1.0,0.6696,1.0,0.9166666666666666,0.5178571428571429,0.8
0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.3319,0.0,0.5,1.0,0.5,0.3319,1.0,0.9444444444444444,0.4642857142857146,0.9
